"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"C2,C3,C4","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","3",""
"D1","POWER","LED_THT:LED_D5.0mm","~","1",""
"D2","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","1",""
"J1","~","LocalFP:EFAEdge","","1",""
"J2","Video","LocalFP:SWITCHCRAFT_PJRAN1X1U04X","","1",""
"JP1","Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92L_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","1",""
"R1,R8","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2",""
"R2,R3","2.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2",""
"R4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R5","75","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R6","30","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R7","200","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"RV1","500","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~","1",""
"U1","CDP1861a","Package_DIP:DIP-24_W15.24mm","","1",""
"U2","74LS08","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS08","1",""
"U3","74HC04","Package_DIP:DIP-14_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","1",""
