"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"C2,C3,C4,C5,C6","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","5",""
"D1,D2,D3,D4","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","4",""
"J1","~","LocalFP:EFAEdge","","1",""
"R1,R2","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2",""
"R3","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"RV1","10K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~","1",""
"U1,U2,U3,U4,U5,U6","TIL311","LocalFP:TIL311","http://www.mouser.com/ds/2/588/til311-e4-1214763.pdf","6",""
"U7","74HC04","Package_DIP:DIP-14_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","1",""
"U8","4023","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf","1",""
"U9,U10","74HC244","Package_DIP:DIP-20_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT244.pdf","2",""
"U11","555C","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","1",""
