"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1,C2,C4,C5,C7,C8","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","6",""
"C3","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"C6","22pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","1",""
"C9","10nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","1",""
"D1","POWER","LED_THT:LED_D5.0mm","~","1",""
"D2,D3","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf","2",""
"J1","~","LocalFP:EFAEdge","","1",""
"J2","Bit Bang Serial","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","1",""
"J5","EEPROM","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","1",""
"J6","Ram Select","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","1",""
"J7","ROM Select","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","1",""
"R1,R4","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2",""
"R2","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R3","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R5,RN1","10K","Resistor_THT:R_Array_SIP9,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","http://www.vishay.com/docs/31509/csc.pdf,~","2",""
"U1","74HC04","Package_DIP:DIP-14_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","1",""
"U2","74LS573","Package_DIP:DIP-20_W7.62mm","74xx/74hc573.pdf","1",""
"U3","HM62256BLP","Package_DIP:DIP-28_W15.24mm","https://web.mit.edu/6.115/www/document/62256.pdf","1",""
"U4","27C256","Package_DIP:DIP-28_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0014.pdf","1",""
"U5","74HC02","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74hc02","1",""
"U6","74HC00","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74hc00","1",""
