"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1","2.2uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"C2","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","1",""
"D1","POWER","LED_THT:LED_D5.0mm","~","1",""
"J1","Secondary Keypad","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","1",""
"R1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"SW1","0","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW2","1","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW3","2","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW4","3","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW5","4","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW6","5","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW7","6","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW8","7","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW9","8","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW10","9","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW11","A","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW12","B","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW13","C","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW14","D","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW15","E","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW16","F","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"U1","4515","Package_DIP:DIP-24_W15.24mm","","1",""
